Query,A,B,C,D,Correct
"When you breathe, I want to be the air for you. I'll be there for you, I'd live and I'd",die,eat,sleep,give,die
"Guy at my table's wife got up to go to the bathroom and I asked about dessert and he started telling me about his",financial,spiritual,marital,horticultural,marital
"I'd give anything to see arctic monkeys this",morning,weekend,decade,month,weekend
"Talking to your mom has the same effect as a hug and helps reduce your",hunger,happiness,sleepiness,stress,stress
"When you were in Holland you were like 1 inch away from me but you hadn't time to take a",minute,picture,look,walk,minute
"I'd just like all of these questions answered, a presentation of evidence, and a jury to settle the",account,case,incident,matter,matter
"I can't deal with unsymetrical things. I can't even hold an uneven number of bags of groceries in each",toe,finger,arm,hand,hand
"Every inch of you is perfect from the bottom to the",top,side,center,middle,top
"I’m thankful my childhood was filled with imagination and bruises from playing",weekly,inside,outside,daily,outside
"I like how the same people are in almost all of Adam Sandler's",pictures,novels,stories,movies,movies
